,Time_period(pri_age),ISO3,Country,Region,Region_full_name,Total_%(pri_age),Female_sex_%(pri_age),Male_sex_%(pri_age),Total_Population_data(pri_age),Female_population(pri_age),Male_population(pri_age),Rural_population(pri_age),Rural_population_rounded(pri_age),Rural_population_%(pri_age),Urban_population(pri_age),Urban_population_rounded(pri_age),Urban_population_%(pri_age)
133,2022,NLD,Netherlands (Kingdom of the),WE,Western Europe,0.405660003423691,0.275269985198975,0.529730021953583,161,79,82,88.92672413793105,89.0,55.23399014778326,72.07327586206895,72.0,44.76600985221674
134,2022,NOR,Norway,WE,Western Europe,0.949949979782104,0.959930002689362,0.940469980239868,114886,55349,59537,48294.358443990044,48294.0,42.03676552755779,66591.64155600996,66592.0,57.9632344724422
135,2024,NPL,Nepal,SA,South Asia,3.59600756344901,,,443669,215894,227775,78759.62363975693,78760.0,17.751887925403157,364909.37636024307,364909.0,82.24811207459685
136,2023,NRU,Nauru,EAP,East Asia and Pacific,3.74752998352051,2.44398999214172,4.97132015228271,298231,146809,151422,46108.386499559245,46108.0,15.46062833828785,252122.61350044076,252123.0,84.53937166171215
137,2022,NZL,New Zealand,EAP,East Asia and Pacific,2.54800009727478,2.41342997550964,2.67571997642517,25500000,12300000,13200000,16150165.49309371,16150165.0,63.33398232585768,9349834.50690629,9349835.0,36.66601767414232
138,2023,OMN,Oman,MENA,Middle East and North Africa,4.31122016906738,4.01791000366211,4.59302997589111,1502,701,801,301.43944636678157,301.0,20.069204152249107,1200.5605536332184,1201.0,79.93079584775089
139,2022,PAK,Pakistan,SA,South Asia,25.1649962156227,30.2777868970034,20.2735915362303,460425,225274,235151,148676.502798239,148677.0,32.291144659442686,311748.497201761,311748.0,67.7088553405573
140,2023,PAN,Panama,LAC,Latin America and Caribbean,9.74936008453369,9.49322986602783,9.99330043792725,1446039,699073,746966,1255614.2440049388,1255614.0,86.83128491036125,190424.75599506128,190425.0,13.168715089638749
141,2023,PER,Peru,LAC,Latin America and Caribbean,0.258359998464584,,,817515,399743,417772,314051.6815107582,314052.0,38.415402960283075,503463.3184892418,503463.0,61.584597039716925
142,2023,PHL,Philippines,EAP,East Asia and Pacific,9.56472979118054,8.90893713840031,10.1755745540717,3145490,1572215,1573275,694937.2136499914,694937.0,22.09313059809414,2450552.7863500086,2450553.0,77.90686940190585
143,2023,PLW,Palau,EAP,East Asia and Pacific,12.5941136208077,12.4444444444444,12.7226463104326,13400000,6568646,6877970,7114416.778702478,7114417.0,53.09266252763043,6285583.221297522,6285583.0,46.90733747236957
144,2018,PNG,Papua New Guinea,EAP,East Asia and Pacific,1.30555999279022,,,2357699,1149304,1208395,941718.3840140537,941718.0,39.942265064966044,1415980.6159859463,1415981.0,60.057734935033956
145,2022,POL,Poland,WE,Western Europe,0.0187699999660254,,,546643,266113,280530,190171.57078040298,190172.0,34.78898856848126,356471.429219597,356471.0,65.21101143151876
146,2009,PRK,Democratic People's Republic of Korea,EAP,East Asia and Pacific,0.171930000185966,,,159823,77411,82412,1382.0274787195958,1382.0,0.8647237748757036,158440.9725212804,158441.0,99.13527622512429
147,2022,PRT,Portugal,WE,Western Europe,0.337850004434586,,,2724486,1324167,1400319,505136.8907635547,505137.0,18.540630811226585,2219349.1092364453,2219349.0,81.45936918877341
148,2023,PRY,Paraguay,LAC,Latin America and Caribbean,12.2711296081543,12.2642297744751,12.277720451355,127367,62131,65236,73072.33929001389,73072.0,57.37148499219883,54294.66070998611,54295.0,42.62851500780116
149,2023,PSE,State of Palestine,MENA,Middle East and North Africa,8.92166042327881,9.14731979370117,8.70545959472656,991608,481929,509679,456162.1834046844,456162.0,46.00226938514861,535445.8165953156,535446.0,53.99773061485139
150,2022,QAT,Qatar,MENA,Middle East and North Africa,7.61488008499146,6.77296018600464,8.41294956207275,7264020,3536135,3727885,1857212.017238752,1857212.0,25.567275657814157,5406807.982761248,5406808.0,74.43272434218584
151,,RKS,Kosovo,EECA,Eastern Europe and Central Asia,,,,1962540,979373,983167,1624769.902996171,1624770.0,82.7891356607341,337770.097003829,337770.0,17.210864339265903
152,2022,ROU,Romania,EECA,Eastern Europe and Central Asia,15.6128101348877,15.6827297210693,15.5467395782471,4954,2485,2469,3429.3920859444943,3429.0,69.224709042077,1524.6079140555057,1525.0,30.77529095792301
153,2023,RUS,Russian Federation,EECA,Eastern Europe and Central Asia,4.93521976470947,4.2432599067688,5.58862018585205,15341,7570,7771,12475.710675861455,12476.0,81.32266916016853,2865.289324138545,2865.0,18.677330839831466
154,2023,RWA,Rwanda,ESA,Eastern and Southern Africa,0.48879000544548,,,11539,5772,5767,5515.8933030852995,5516.0,47.8021778584392,6023.1066969147005,6023.0,52.1978221415608
155,2021,SAU,Saudi Arabia,MENA,Middle East and North Africa,2.8173999786377,1.87489998340607,3.71557998657227,29008,13952,15056,23715.997025721437,23716.0,81.75674650345228,5292.002974278561,5292.0,18.243253496547716
156,2018,SDN,Sudan,ESA,Eastern and Southern Africa,33.8739814758301,36.3193702697754,31.4882297515869,1665,808,857,46.193491670888534,46.0,2.7743838841374493,1618.8065083291115,1619.0,97.22561611586255
157,2023,SEN,Senegal,WCA,West and Central Africa,26.5942707061768,20.5142402648926,32.5296516418457,36397,18010,18387,9898.851746496948,9899.0,27.196889157065,26498.148253503052,26498.0,72.803110842935
158,2022,SGP,Singapore,EAP,East Asia and Pacific,0.930599987506866,0.798900008201599,1.05558001995087,3478304,1713461,1764843,561971.9341940326,561972.0,16.156492767568118,2916332.0658059674,2916332.0,83.84350723243188
159,2023,SLB,Solomon Islands,EAP,East Asia and Pacific,28.6276173556422,28.4404006984652,28.8010351755372,2793583,1378592,1414991,1475226.892380389,1475227.0,52.80769865725804,1318356.107619611,1318356.0,47.19230134274196
160,2016,SLE,Sierra Leone,WCA,West and Central Africa,1.70402528418465,,,265196,128586,136610,116442.84033820027,116443.0,43.90821895435839,148753.15966179973,148753.0,56.09178104564161
161,2023,SLV,El Salvador,LAC,Latin America and Caribbean,14.3291997909546,13.1007204055786,15.4830102920532,9506,4621,4885,4117.020801176039,4117.0,43.309707565495884,5388.979198823961,5389.0,56.690292434504116
162,2023,SMR,San Marino,WE,Western Europe,6.76642990112305,5.85105991363525,7.64331007003784,1255614,626872,628742,727570.4168343216,727570.0,57.94538901559887,528043.5831656784,528044.0,42.05461098440113
163,,SOM,Somalia,ESA,Eastern and Southern Africa,,,,233331,113873,119458,0.0,0.0,0.0,233331.0,233331.0,100.0
164,2022,SRB,Serbia,EECA,Eastern Europe and Central Asia,1.70560002326965,1.64392995834351,1.76377999782562,226558,110728,115830,104838.07848815445,104838.0,46.274277883877176,121719.92151184555,121720.0,53.72572211612282
165,2015,SSD,South Sudan,ESA,Eastern and Southern Africa,63.0254287719727,67.828742980957,58.3362808227539,130338,63254,67084,59250.79083151552,59251.0,45.459337132314076,71087.20916848448,71087.0,54.54066286768592
166,2021,STP,Sao Tome and Principe,WCA,West and Central Africa,5.83157598762829,7.25960996505467,4.41003198114795,109807,53151,56656,83729.28874777188,83729.0,76.25132163502496,26077.711252228124,26078.0,23.748678364975024
167,2023,SUR,Suriname,LAC,Latin America and Caribbean,48.9471588134766,82.8109664916992,16.1986408233643,2763693,1373049,1390644,1520841.4483295104,1520841.0,55.02931940448923,1242851.5516704896,1242852.0,44.97068059551078
168,2022,SVK,Slovakia,WE,Western Europe,2.8592700958252,2.78123998641968,2.93321990966797,8019675,3967504,4052171,2698213.122502098,2698213.0,33.64491855969348,5321461.877497902,5321462.0,66.35508144030652
169,2022,SVN,Slovenia,WE,Western Europe,1.2043399810791,1.18823003768921,1.21948003768921,1809074,893464,915610,1454225.2895925113,1454225.0,80.38506382782083,354848.7104074888,354849.0,19.61493617217918
170,2022,SWE,Sweden,WE,Western Europe,0.566910028457642,0.574090003967285,0.560140013694763,2819664,1364873,1454791,554871.0690474985,554871.0,19.678623731320418,2264792.9309525015,2264793.0,80.32137626867957
171,2019,SWZ,Eswatini,ESA,Eastern and Southern Africa,10.4842700958252,11.6624298095703,9.3067798614502,1675497,825639,849858,1365939.1781764533,1365939.0,81.52441801903872,309557.8218235467,309558.0,18.475581980961277
172,2023,SYC,Seychelles,ESA,Eastern and Southern Africa,2.83371996879578,3.40136003494263,2.28627991676331,521522,254939,266583,124307.53903042607,124308.0,23.835531201066505,397214.46096957393,397214.0,76.1644687989335
173,2023,SYR,Syrian Arab Republic,MENA,Middle East and North Africa,23.5768909454346,23.2590103149414,23.8795890808106,6778254,3343328,3434926,4430164.859622024,4430165.0,65.3584958548621,2348089.140377976,2348089.0,34.64150414513791
174,2021,TCA,Turks and Caicos Islands,LAC,Latin America and Caribbean,4.86958973214641,,,62855,30300,32555,21333.279054585517,21333.0,33.94046464813542,41521.72094541448,41522.0,66.05953535186458
175,2023,TCD,Chad,WCA,West and Central Africa,23.8714904785156,30.5496597290039,17.3776702880859,711138,345776,365362,89382.31587077212,89382.0,12.568912907308022,621755.6841292279,621756.0,87.43108709269198
176,2023,TGO,Togo,WCA,West and Central Africa,0.771740019321442,,,502915,244735,258180,131776.97926178662,131777.0,26.202634493261606,371138.0207382134,371138.0,73.79736550673839
177,2024,THA,Thailand,EAP,East Asia and Pacific,1.82021560338619,1.63113112518915,1.99841892606607,2075685,1017704,1057981,951448.3489374307,951448.0,45.83780048212665,1124236.6510625693,1124237.0,54.16219951787335
178,2017,TJK,Tajikistan,EECA,Eastern Europe and Central Asia,4.00798988342285,4.84686994552612,3.2113299369812,920981,448075,472906,671078.5400169162,671079.0,72.8656226368314,249902.45998308374,249902.0,27.134377363168593
179,2023,TKL,Tokelau,EAP,East Asia and Pacific,18.3673496246338,11.6504898071289,25.8064498901367,4710334,2286964,2423370,2357584.595024718,2357585.0,50.05132534178506,2352749.404975282,2352749.0,49.948674658214934
180,,TKM,Turkmenistan,EECA,Eastern Europe and Central Asia,,,,183232,89977,93255,127203.52153850105,127204.0,69.4221105148124,56028.47846149895,56028.0,30.577889485187605
181,2020,TLS,Timor-Leste,EAP,East Asia and Pacific,5.03631222520662,1.58180361716291,8.26221632214426,1311599,653813,657786,764640.5743492056,764641.0,58.29834990337791,546958.4256507944,546958.0,41.701650096622096
182,2023,TON,Tonga,EAP,East Asia and Pacific,0.513103979877487,,,128,62,66,128.0,128.0,100.0,0.0,0.0,0.0
183,2023,TTO,Trinidad and Tobago,LAC,Latin America and Caribbean,33.8896293640137,33.1981506347656,34.5569610595703,14884,7183,7701,11441.132870981946,11441.0,76.8686701893439,3442.8671290180537,3443.0,23.131329810656098
184,2023,TUN,Tunisia,MENA,Middle East and North Africa,1.9412100315094,1.59280002117157,2.27066993713379,135067,66499,68568,63232.72271342375,63233.0,46.815819344046844,71834.27728657625,71834.0,53.18418065595316
185,2022,TUR,Türkiye,EECA,Eastern Europe and Central Asia,0.263200014829636,,,1161457,562239,599218,360689.62602633773,360690.0,31.054927218686334,800767.3739736623,800767.0,68.94507278131367
186,2023,TUV,Tuvalu,EAP,East Asia and Pacific,0.975709974765778,,,5485775,2681536,2804239,1363606.2154623182,1363606.0,24.857129857901903,4122168.784537682,4122169.0,75.14287014209809
187,2023,TZA,United Republic of Tanzania,ESA,Eastern and Southern Africa,16.3821768485554,13.8192945179723,18.8993290237309,529447,261098,268349,256287.5864019376,256288.0,48.406655699614426,273159.4135980624,273159.0,51.59334430038558
188,2017,UGA,Uganda,ESA,Eastern and Southern Africa,11.5400385431892,10.4414221086516,12.6362308313425,3045,1488,1557,210.15182270667083,210.0,6.901537691516284,2834.848177293329,2835.0,93.09846230848372
189,2021,UKR,Ukraine,EECA,Eastern Europe and Central Asia,15.8709897994995,15.8017196655273,15.9361696243286,1583,771,812,595.3605918313104,595.0,37.6096394081687,987.6394081686896,988.0,62.3903605918313
190,2022,URY,Uruguay,LAC,Latin America and Caribbean,0.0360299982130527,,,9629931,4774402,4855529,7340467.840038085,7340468.0,76.2255496954037,2289463.159961914,2289463.0,23.774450304596307
191,2022,USA,United States,NA,North America,3.98220992088318,3.78526997566223,4.1700701713562,1701347,825047,876300,521421.1003897502,521421.0,30.64754576166709,1179925.8996102498,1179926.0,69.35245423833291
192,2024,UZB,Uzbekistan,EECA,Eastern Europe and Central Asia,0.736521325108766,,,400803,196981,203822,54018.25954159751,54018.0,13.477508786510459,346784.7404584025,346785.0,86.52249121348954
193,,VAT,Holy See,WE,Western Europe,,,,4931759,2407776,2523983,818751.7288710233,818752.0,16.601616763329744,4113007.2711289767,4113007.0,83.39838323667026
194,2023,VCT,Saint Vincent and the Grenadines,LAC,Latin America and Caribbean,1.38979388175573,,,11500000,5696600,5827611,7615791.831405833,7615792.0,66.22427679483334,3884208.168594166,3884208.0,33.77572320516666
195,2023,VEN,Venezuela (Bolivarian Republic of),LAC,Latin America and Caribbean,0.547710001468658,,,24500000,12000000,12500000,24500000.0,24500000.0,100.0,0.0,0.0,0.0
196,2022,VGB,British Virgin Islands,LAC,Latin America and Caribbean,1.00672996044159,,,282850,138435,144415,13197.760646838753,13198.0,4.665992804256232,269652.23935316125,269652.0,95.33400719574377
197,2015,VNM,Viet Nam,EAP,East Asia and Pacific,0.34684252366635,,,2553795,1243756,1310039,1264688.83550395,1264689.0,49.52194030859759,1289106.16449605,1289106.0,50.4780596914024
198,2023,VUT,Vanuatu,EAP,East Asia and Pacific,8.58085172041352,8.01864244741874,9.10858510320072,46393,22365,24028,34667.83883282468,34668.0,74.72644328416933,11725.16116717532,11725.0,25.273556715830665
199,2023,WSM,Samoa,EAP,East Asia and Pacific,2.98071303331385,2.39094725314839,3.52583928471012,3275600,1601446,1674154,386269.7194525185,386270.0,11.792334822704802,2889330.2805474815,2889330.0,88.2076651772952
